178101,199930,12,1444028118,1444218475,0
283252,331153,12,1446453453,1446598532,0
260483,302134,12,1443563371,1443709728,1
385076,463550,12,1449752079,1449899531,0
15300,14459,12,1443545422,1443695559,1
348718,415994,8,1451495295,1451684414,0
94062,459791,8,1447783574,1448030371,0
241939,805430,12,1443520304,1443715066,1
359016,429310,12,1443533888,1443688276,1
15128,14714,1,1448136671,1448305933,0
178101,199930,12,1443983064,1444173781,0
386535,465505,8,1443578555,1443719782,1
386545,409811,2,1443514333,1443684370,0
383127,393079,12,1448391172,1448547344,0
182557,389775,12,1446441817,1446672830,0
374627,449783,12,1443554619,1443710262,1
386061,464885,12,1443519620,1443687354,1
4611,259057,12,1443552940,1443692736,1
384723,448951,12,1443542922,1443710562,0
320715,379516,3,1443545205,1443737683,1
386528,465496,12,1443520423,1443706117,1
212923,451773,12,1447503409,1447665916,0
575991,666814,4,1443538718,1443689863,1
385375,422248,2,1445867726,1446016444,0
15129,14655,1,1443547428,1443753680,1
386533,465502,14,1443502212,1443744675,1
386341,465255,12,1449368554,1449531583,0
242702,279949,10,1443541196,1443715960,1
355645,506861,7,1443581421,1443742089,0
245251,283103,12,1443563224,1443727155,1
545467,429152,12,1446803077,1446957403,0
94062,459791,8,1443505029,1443688619,1
372859,463533,12,1450716151,1450844011,0
650445,682849,12,1443546756,1443708116,1
15570,15138,12,1443535497,1443678496,1
663969,781886,12,1443556530,1443690053,1
373663,454146,12,1443544916,1443747849,1
385080,463557,7,1443555928,1443725136,1
82349,429424,12,1447313875,1447485456,0
219017,797956,12,1443521491,1443682243,1
373904,448852,12,1443573241,1443710819,1
386503,452884,12,1447382862,1447607506,0
386172,509727,12,1443574833,1443751687,0
384688,696961,12,1443981061,1444150696,0
15570,15138,12,1443527333,1443725792,1
721005,855349,12,1443539426,1443689642,1
383512,461510,12,1446750310,1446889128,0
205186,418163,12,1443576828,1443737619,1
339464,403941,12,1443503436,1443749255,1
650446,770073,6,1443554332,1443707235,1
326013,451626,12,1443655440,1443802135,0
250560,462258,2,1443533015,1443731366,1
379162,455832,12,1450210209,1450344531,0
382107,459668,12,1444283128,1444491595,0
384022,462197,12,1444692025,1444893325,0
367049,439887,12,1443513818,1443713223,1
717006,855464,12,1450553956,1450713334,0
384184,462423,5,1447949605,1448157564,0
343972,409887,12,1450855386,1451089942,0
384184,462423,5,1443568731,1443748681,1
333059,395656,12,1443502839,1443718370,1
162191,180580,12,1450905544,1451102319,0
383664,461705,12,1447747977,1447903533,0
250560,328476,10,1446745698,1446932178,0
386213,465083,12,1450657573,1450760309,0
385960,402549,12,1443554067,1443711189,0
386511,465476,12,1443544479,1443689557,1
120428,131068,6,1443541654,1443682437,1
120428,441207,7,1449433302,1449587673,0
386004,464813,12,1444446748,1444589481,0
256042,462231,12,1444543017,1444723222,0
15570,15138,12,1447184741,1447315155,0
250560,389057,10,1443549533,1443696733,0
345969,839745,14,1444821163,1445028396,0
374627,449783,12,1443508941,1443723313,1
686774,815937,12,1444176362,1444386016,0
15590,222029,12,1443585006,1443718220,0
361439,432497,12,1443572523,1443709295,1
386404,465340,12,1447679010,1447806973,0
710767,15622,12,1443503280,1443750400,1
386292,846280,7,1444939203,1445084579,0
384184,462423,5,1447500663,1447685302,0
374609,449758,12,1444672730,1444891690,0
386404,465340,10,1443517910,1443729155,1
385101,810019,12,1444466539,1444672736,0
15234,14814,14,1443550297,1443698946,1
379503,456274,12,1447809200,1447999334,0
376387,452115,12,1448693094,1448851306,0
386511,465476,12,1443524668,1443738505,1
120535,827910,12,1443570556,1443687653,1
361439,441690,13,1450321231,1450509718,0
20463,464370,12,1443536716,1443735144,1
361439,432497,2,1443554149,1443727266,1
386533,465502,5,1443518725,1443696880,1
386508,465472,12,1449385537,1449595668,0
563067,853424,12,1443535401,1443675291,1
83527,788437,12,1443506640,1443672507,1
385774,464507,12,1444667948,1444847278,0
289385,733680,4,1443558629,1443685733,1
386404,465340,12,1443499734,1443748163,1
386404,465340,10,1443570110,1443679501,1
375192,450525,12,1443537151,1443743817,1
386404,451744,3,1450504712,1450660852,0
386526,854799,12,1443513312,1443702991,0
346587,413250,12,1451114623,1451330231,0
386516,465474,12,1449830198,1449995675,0
318376,424946,12,1446078316,1446304498,0
181126,203648,12,1450549579,1450715858,0
346587,412633,3,1443528640,1443738178,0
386341,465255,12,1448412281,1448648046,0
62961,459257,12,1449259496,1449424918,0
351782,420039,12,1443523729,1443744022,1
354320,423290,12,1443558466,1443729684,1
299875,352409,12,1443520247,1443756136,1
381715,459156,12,1449536582,1449681366,0
379692,456511,12,1443566540,1443719144,1
670346,711801,12,1449078796,1449273896,0
384184,462423,5,1443579563,1443698023,1
351887,420187,12,1443499816,1443675119,1
374244,449289,12,1443573049,1443695622,1
386534,465504,12,1443530218,1443732113,1
372859,313780,12,1443851130,1443977461,0
173403,194182,12,1443550180,1443698410,1
670347,735767,12,1443509848,1443724829,1
357930,427938,12,1443564406,1443676471,1
385756,464484,12,1450513747,1450711353,0
260269,301861,12,1443526179,1443711245,1
376781,452637,12,1443536993,1443683861,1
329312,390775,12,1443531974,1443723084,1
310295,365950,12,1443548453,1443755651,1
343154,442440,12,1450201271,1450352816,0
88191,93820,12,1443502452,1443677101,1
281241,437071,2,1443525096,1443717115,0
19595,391950,12,1443552929,1443712700,1
281241,672609,2,1451375982,1451555125,0
296303,348196,12,1443554397,1443676407,1
281948,428942,12,1451323492,1451490569,0
132767,425237,12,1443577874,1443741764,1
386524,441872,12,1443518838,1443697259,0
355998,425498,12,1450984507,1451119907,0
385241,463780,12,1449458665,1449577994,0
386533,465502,5,1443539963,1443752313,1
386534,465504,12,1443570980,1443677387,1
113236,437404,12,1447046804,1447221373,0
385817,464560,12,1450324116,1450468514,0
284058,400099,12,1443557713,1443680407,1
161674,279890,12,1451081385,1451282000,0
528553,733683,4,1447345805,1447558439,0
386341,465255,12,1448231680,1448464728,0
152628,849807,12,1443580553,1443753454,1
386528,465496,12,1443546506,1443714720,1
384544,462882,3,1443545278,1443757568,1
