2,29,-1,-1,-1,-1,9,-1,-1
5,29,-1,-1,-1,-1,-1,-1,20
11,11,-1,-1,-1,-1,-1,-1,20
16,13,-1,-1,-1,-1,155,-1,20
19,-1,-1,-1,-1,-1,40,-1,-1
27,23,-1,-1,-1,-1,71,-1,24
29,17,-1,-1,173,-1,-1,-1,-1
30,17,-1,-1,-1,-1,-1,-1,-1
37,29,-1,-1,-1,-1,26,-1,8
38,0,-1,-1,-1,-1,116,-1,-1
39,26,-1,10,-1,-1,-1,-1,-1
44,4,-1,-1,-1,-1,175,-1,-1
45,29,-1,-1,-1,-1,56,-1,18
46,-1,-1,-1,-1,-1,190,-1,-1
52,3,-1,-1,-1,-1,155,-1,-1
59,13,-1,-1,-1,-1,22,-1,-1
60,9,-1,-1,-1,-1,3,-1,6
61,29,-1,-1,-1,-1,130,-1,-1
72,-1,-1,-1,-1,-1,86,-1,-1
73,3,-1,-1,-1,-1,-1,-1,-1
75,10,-1,-1,-1,-1,-1,-1,6
77,29,-1,-1,-1,-1,155,-1,-1
82,-1,-1,-1,-1,-1,166,-1,-1
84,5,-1,-1,-1,-1,86,-1,-1
86,4,-1,-1,-1,-1,219,-1,-1
92,-1,-1,11,13,-1,-1,0,-1
96,13,-1,-1,-1,-1,186,-1,-1
98,29,-1,-1,-1,-1,44,-1,25
99,7,-1,-1,-1,-1,155,-1,-1
106,5,-1,-1,-1,-1,-1,-1,-1
109,10,-1,-1,-1,-1,-1,-1,12
113,29,-1,-1,-1,-1,155,-1,21
115,31,-1,-1,-1,-1,21,-1,-1
117,6,-1,-1,-1,-1,164,-1,-1
125,29,-1,-1,-1,-1,-1,-1,-1
126,3,-1,-1,-1,-1,-1,-1,11
127,29,-1,-1,-1,-1,219,-1,-1
128,19,-1,-1,-1,-1,162,-1,-1
132,-1,-1,-1,361,-1,-1,-1,-1
133,4,-1,-1,-1,-1,-1,-1,23
135,29,-1,-1,-1,-1,84,-1,25
136,-1,-1,11,-1,-1,-1,-1,-1
138,-1,-1,-1,-1,-1,134,-1,-1
144,19,-1,-1,-1,-1,1,-1,-1
147,11,-1,-1,-1,-1,-1,-1,-1
151,29,-1,-1,-1,-1,105,-1,25
153,11,-1,-1,-1,-1,-1,-1,11
157,7,-1,13,-1,-1,-1,-1,-1
158,-1,-1,-1,-1,-1,157,-1,-1
159,17,-1,-1,-1,-1,163,-1,-1
161,29,-1,-1,-1,-1,155,-1,25
163,-1,-1,-1,-1,-1,219,-1,-1
165,3,-1,-1,-1,-1,203,-1,-1
169,29,-1,-1,-1,-1,44,-1,24
177,29,18,-1,-1,-1,168,-1,11
178,5,-1,-1,-1,-1,45,-1,-1
182,9,-1,10,-1,-1,62,-1,-1
187,29,-1,-1,-1,-1,60,-1,24
193,29,-1,-1,-1,-1,210,-1,8
197,29,-1,-1,-1,-1,69,-1,-1
206,17,-1,-1,-1,-1,31,-1,-1
211,13,-1,-1,-1,-1,-1,-1,-1
220,-1,-1,-1,16,-1,-1,-1,-1
221,4,-1,-1,-1,-1,151,-1,-1
226,4,-1,-1,-1,-1,97,-1,-1
229,-1,-1,-1,-1,-1,167,-1,-1
230,9,-1,-1,-1,-1,197,-1,-1
232,17,-1,-1,-1,-1,204,-1,-1
235,10,-1,-1,-1,-1,97,-1,-1
237,-1,-1,-1,-1,-1,85,-1,-1
241,-1,-1,-1,-1,-1,163,-1,-1
242,30,-1,10,-1,-1,-1,-1,7
244,13,-1,-1,-1,-1,155,-1,-1
245,-1,-1,-1,-1,-1,85,-1,-1
251,-1,-1,-1,-1,-1,10,-1,-1
252,-1,-1,11,-1,-1,220,-1,-1
253,11,-1,-1,-1,-1,-1,-1,-1
256,10,-1,-1,-1,-1,155,-1,-1
262,19,-1,-1,-1,-1,-1,-1,-1
266,23,-1,-1,-1,-1,209,-1,-1
268,29,-1,-1,-1,-1,187,-1,14
270,7,-1,-1,-1,-1,85,-1,-1
274,5,-1,-1,-1,-1,95,-1,-1
288,5,-1,-1,-1,-1,-1,-1,26
289,4,-1,-1,-1,-1,70,-1,-1
292,29,-1,-1,-1,-1,65,-1,25
293,10,-1,-1,-1,-1,89,-1,-1
302,11,-1,-1,-1,-1,-1,-1,-1
303,17,-1,-1,-1,-1,186,-1,-1
306,3,-1,-1,-1,-1,84,-1,-1
309,3,-1,-1,-1,-1,112,-1,-1
317,4,-1,-1,-1,-1,76,-1,-1
320,5,-1,-1,-1,-1,-1,-1,11
321,5,-1,-1,-1,-1,155,-1,-1
327,29,-1,-1,-1,-1,97,-1,-1
330,-1,-1,-1,-1,-1,117,-1,-1
335,19,-1,-1,-1,-1,155,-1,-1
337,9,-1,-1,-1,-1,197,-1,-1
338,29,-1,-1,-1,-1,122,-1,-1
339,29,-1,-1,-1,-1,210,-1,8
346,13,-1,-1,-1,-1,212,-1,-1
347,18,-1,-1,-1,-1,14,-1,-1
352,28,-1,-1,-1,-1,-1,-1,18
359,19,-1,-1,-1,-1,155,-1,-1
360,29,-1,-1,-1,-1,164,-1,20
364,17,-1,-1,-1,-1,173,-1,-1
367,-1,-1,-1,-1,-1,174,-1,-1
373,0,-1,-1,-1,-1,155,-1,-1
380,19,-1,-1,-1,-1,219,-1,25
385,-1,-1,-1,-1,-1,97,-1,-1
390,29,-1,-1,-1,-1,159,-1,14
391,14,-1,-1,28,-1,-1,-1,-1
392,29,-1,-1,-1,-1,97,-1,17
393,29,-1,-1,-1,-1,173,-1,25
395,-1,-1,-1,-1,-1,174,-1,-1
397,9,-1,-1,-1,-1,42,-1,-1
402,29,-1,-1,-1,-1,199,-1,-1
405,-1,-1,-1,-1,-1,46,-1,-1
408,29,-1,-1,-1,-1,140,-1,-1
412,29,-1,-1,-1,-1,177,-1,-1
415,14,-1,10,-1,-1,-1,13,-1
418,29,-1,-1,-1,-1,1,-1,18
419,6,-1,-1,185,-1,-1,-1,-1
420,17,-1,-1,-1,-1,194,-1,-1
422,17,-1,-1,-1,-1,57,-1,-1
423,29,-1,-1,-1,-1,84,-1,-1
424,18,-1,-1,-1,-1,-1,-1,2
426,29,-1,-1,-1,-1,77,-1,-1
427,-1,-1,-1,-1,-1,33,-1,-1
428,15,-1,-1,-1,-1,176,-1,-1
429,29,-1,-1,-1,-1,-1,-1,-1
430,28,-1,-1,-1,-1,219,-1,-1
431,17,-1,-1,-1,-1,155,-1,-1
437,0,-1,-1,-1,-1,-1,-1,-1
